tipo de material,codigo,nombre,pkg
COMPONENTES,TCHBC1Y020SN,CBR694-022,1200
COMPONENTES,TCHBC1Y050SN,CBR697-012,1200
COMPONENTES,TCHBC3W000SN,CBR692-012,1000
COMPONENTES,TCHBC3Z050SN,CBR725-012,800
COMPONENTES,TCHBC46500SN,CBR465-012,1500
COMPONENTES,TCHBC68800SN,CBR688-022,1000
COMPONENTES,TCHCC070A0SN,KCRT1389-0702AA,500
COMPONENTES,TCHCC15212SN,CBS15-2-012,1500
COMPONENTES,TCHCC31400SN,CBR314-012,200
COMPONENTES,TCHCC42700SN,CBR427-012,1000
COMPONENTES,TCHCC52100SN,CBR521-022,400
COMPONENTES,TCHCC52400SN,CBR524-012,200
COMPONENTES,TCHCC53700SN,CBR537-012,300
COMPONENTES,TCHCC54300SN,CBR543-012,1000
COMPONENTES,TCHEE52300SN,CBR523-012,154
COMPONENTES,TCWBBJ7100SN,91988-J7100,100
COMPONENTES,TCWBC1R710SN,91961-1R710,100
COMPONENTES,TCWBC1W010SN,91985-1W010,500
COMPONENTES,TCWCCG3010SN,91985-G3010,100
COMPONENTES,TCWCCG3020SN,91985-G3020,100
COMPONENTES,TCWEEC1030SN,91985-C1030,100
TERMINAL,TDP1206432SN,3508-8746,1
TERMINAL,TDP1212005AU,3321-9170,5000
TERMINAL,TDP1212006AG,F931400,4500
TERMINAL,TDP12150W6SN,1208-4200,3000
TERMINAL,TDP1215W06SN,1532-6266,4500
TERMINAL,TDP12GT006AU,1532-6426,4000
TERMINAL,TDP12GT151SN,1530-4701,1
TERMINAL,TDP22AT286SN,1534-4659,5000
TERMINAL,TDP24280W6SN,1216-0376,4500
TERMINAL,TDP33AT286SN,1534-4661,5000
TERMINAL,TDP3412005SN,3321-9167,5000
TERMINAL,TDP3412006AG,F731400,4000
TERMINAL,TDP3415002SN,1532-6267,4000
TERMINAL,TDP45AP286SN,1362-7267,6000
TERMINAL,TDP45AT288AG,1367-9981,5000
TERMINAL,TDP45AT288SN,R-ATS 280 1.6~2.5 WP SN,5000
TERMINAL,TDP6763002SN,33400492,1000
TERMINAL,TDP77P2801AG,13790534,1
TERMINAL,TDP88800W6AG,1212-9414,1000
TERMINAL,TFC1201502SN,5400-2000,5000
TERMINAL,TFC12064W6SN,PPI0001023,12000
TERMINAL,TFC1212006AG,5400-2007,550
TERMINAL,TFC1212006SN,54002006,4500
TERMINAL,TFC12S3288SN,211CC3S1190,3200
TERMINAL,TFC13SNSR2SN,211CC2S1190P,4300
TERMINAL,TFC23DCKW6AU,60002034,6000
TERMINAL,TFC23DCKW6SN,60002031,6000
TERMINAL,TFC33064W6SN,PPI0001024,10000
TERMINAL,TFC3401502SN,5400-1625,5000
TERMINAL,TFC3412006SN,54001864,4000
TERMINAL,TFC34SNSR2SN,211CC2S4190P,3500
TERMINAL,TFC44DCKW6SN,60002041,6000
TERMINAL,TFC45FC2S2SN,60013741,4000
TERMINAL,TFC45SNSR2SN,211CC3S2120,2000
TERMINAL,THR00GT8E2AU,GT8E-2022SCF,10000
TERMINAL,THR11GT252SN,GT25H-2024SCF,10000
TERMINAL,THR11KM322SN,6432-0022-0-001,7000
TERMINAL,THR1202512SN,CL6431-0011-8,7000
TERMINAL,THR12025J2SN,6405-0037-5-000,7000
TERMINAL,THRMM02512SN,CL6431-0012-0,7000
COMPONENTES,TIPAAF9100SN,91985-F9100,1000
TERMINAL,TJA11MX342SN,M34S75C4F1,7500
TERMINAL,TJA22MX342SN,M34S75C4F2,7500
TERMINAL,TJS11CPT02AU,SCPT-A021GF-0.5,15000
TERMINAL,TJS12AIT02SN,SAIT-A03T-M064,6500
TERMINAL,TJS12AIT05AU,SAITWS-A03GF-064,3500
TERMINAL,TJS12AIT06AU,SAITS-A03GF-M064,3500
TERMINAL,TJS22HIC02AU,SNAC3-A021GF-M0.64-1,5000
TERMINAL,TJS22SQKL2AU,SSQSK-A03GJ-P-L,5000
TERMINAL,TJS22SQKR2AU,SSQSK-A03GJ-P-R,5000
TERMINAL,TKS11ML131AU,321 25 65176 3,12000
TERMINAL,TKS11ML131SN,321 40 65176 3,12000
TERMINAL,TKS34ML122AU,321 25 73403 0,9650
TERMINAL,TKS34ML131SN,321 40 65177 3,10000
TERMINAL,TKT1102002SN,731403-3,10000
TERMINAL,TKT11020L2SN,731462-3,10000
TERMINAL,TKT1104002SN,731414-3,6000
TERMINAL,TKT1106002SN,730703-3,6000
TERMINAL,TKT1107002SN,731417-3,4000
TERMINAL,TKT11092W6AU,731419-G,3000
TERMINAL,TKT11092W6SN,731419-3,3000
TERMINAL,TKT1112002SN,731314-3,6000
TERMINAL,TKT1120B02SN,K200294-20,10000
TERMINAL,TKT1120B12AU,741356-G,10000
TERMINAL,TKT1125002SN,731420-3,5000
TERMINAL,TKT11SWP05SN,741366-3,4000
TERMINAL,TKT11SWP06SN,731418-3,3500
TERMINAL,TKT1202501AU,741055-G,18000
TERMINAL,TKT1202501SN,741055-3,9681
TERMINAL,TKT1202502AU,731053-GN,7000
TERMINAL,TKT1202502SN,731053-3N,7000
TERMINAL,TKT1202506SN,731364-3,5000
TERMINAL,TKT1202521AU,741346-G,7000
TERMINAL,TKT1202521SN,741346-3,7000
